Tabel 2.  Gemiddeld aantal personenauto's per huishouden naar wijk, 1 januari 2023;;;;;
;;;;;
Wijknaam  ;Wijkcode ;Gemeentenaam;Gemeentecode ;Personenauto's per huishouden (afgerond);
Wijk 06 Overhees;WK034206  ;Soest                                   ;GM0342;1,2;
Wijk 07 Soest-Zuid;WK034207  ;Soest                                   ;GM0342;1,2;
Wijk 08 Soesterberg;WK034208  ;Soest                                   ;GM0342;1,2;
Wijk 01 West;WK034401  ;Utrecht                                 ;GM0344;0,5;
Wijk 02 Noordwest;WK034402  ;Utrecht                                 ;GM0344;0,5;
Wijk 03 Overvecht;WK034403  ;Utrecht                                 ;GM0344;0,6;
Wijk 04 Noordoost;WK034404  ;Utrecht                                 ;GM0344;0,5;
Wijk 05 Oost;WK034405  ;Utrecht                                 ;GM0344;0,4;
Wijk 06 Binnenstad;WK034406  ;Utrecht                                 ;GM0344;0,3;
Wijk 07 Zuid;WK034407  ;Utrecht                                 ;GM0344;0,5;
Wijk 08 Zuidwest;WK034408  ;Utrecht                                 ;GM0344;0,5;
Wijk 09 Leidsche Rijn;WK034409  ;Utrecht                                 ;GM0344;0,8;
Wijk 10 Vleuten-De Meern;WK034410  ;Utrecht                                 ;GM0344;1,1;
Centrum;WK034500  ;Veenendaal                              ;GM0345;0,8;
Noordoost;WK034501  ;Veenendaal                              ;GM0345;1,0;
Zuidoost;WK034502  ;Veenendaal                              ;GM0345;1,0;
Zuidwest;WK034503  ;Veenendaal                              ;GM0345;1,0;
Noordwest;WK034504  ;Veenendaal                              ;GM0345;1,0;
West;WK034505  ;Veenendaal                              ;GM0345;1,2;
Wijk 00 Woudenberg;WK035100  ;Woudenberg                              ;GM0351;1,2;
Wijk 00 Wijk bij Duurstede;WK035200  ;Wijk bij Duurstede                      ;GM0352;1,1;
Wijk 01 Landelijk gebied;WK035201  ;Wijk bij Duurstede                      ;GM0352;1,4;
Wijk 02 Cothen;WK035202  ;Wijk bij Duurstede                      ;GM0352;1,3;
Wijk 03 Langbroek;WK035203  ;Wijk bij Duurstede                      ;GM0352;1,4;
Wijk 00 IJsselstein;WK035300  ;IJsselstein                             ;GM0353;1,0;
Zeist Centrum;WK035501  ;Zeist                                   ;GM0355;0,9;
Zeist-Noord;WK035502  ;Zeist                                   ;GM0355;0,8;
Zeist-West;WK035503  ;Zeist                                   ;GM0355;0,9;
Zeist-Oost;WK035504  ;Zeist                                   ;GM0355;1,0;
Den Dolder e.o.;WK035505  ;Zeist                                   ;GM0355;1,2;
Jutphaas Wijkersloot;WK035601  ;Nieuwegein                              ;GM0356;0,8;
Zuilenstein;WK035602  ;Nieuwegein                              ;GM0356;0,9;
Batau Zuid;WK035603  ;Nieuwegein                              ;GM0356;1,0;
Batau Noord;WK035604  ;Nieuwegein                              ;GM0356;1,0;
Doorslag;WK035605  ;Nieuwegein                              ;GM0356;1,0;
Huis de Geer;WK035606  ;Nieuwegein                              ;GM0356;1,0;
Blokhoeve;WK035607  ;Nieuwegein                              ;GM0356;1,0;
Galecop;WK035608  ;Nieuwegein                              ;GM0356;1,0;
Fokkesteeg;WK035610  ;Nieuwegein                              ;GM0356;1,0;
Hoogzandveld;WK035611  ;Nieuwegein                              ;GM0356;1,1;
Lekboulevard;WK035612  ;Nieuwegein                              ;GM0356;0,8;
Vreeswijk;WK035613  ;Nieuwegein                              ;GM0356;1,0;
Merwestein;WK035614  ;Nieuwegein                              ;GM0356;0,7;
Park Oudegein;WK035615  ;Nieuwegein                              ;GM0356;.;
Zandveld;WK035616  ;Nieuwegein                              ;GM0356;1,0;
Het Klooster;WK035618  ;Nieuwegein                              ;GM0356;.;
Laagraven;WK035620  ;Nieuwegein                              ;GM0356;.;
Plettenburg;WK035621  ;Nieuwegein                              ;GM0356;0,8;
De Wiers;WK035622  ;Nieuwegein                              ;GM0356;.;
Hoge Landen;WK035623  ;Nieuwegein                              ;GM0356;.;
Stadscentrum;WK035624  ;Nieuwegein                              ;GM0356;0,6;
Rijnhuizen;WK035625  ;Nieuwegein                              ;GM0356;0,8;
Wijk 00 Aalsmeer;WK035800  ;Aalsmeer                                ;GM0358;1,0;
Wijk 01 Kudelstraat en Kalslagen;WK035801  ;Aalsmeer                                ;GM0358;1,2;
Wijk 02 Oosteinde;WK035802  ;Aalsmeer                                ;GM0358;1,1;
Zuid;WK036101  ;Alkmaar                                 ;GM0361;0,8;
Oudorp;WK036102  ;Alkmaar                                 ;GM0361;0,9;
Overdie;WK036103  ;Alkmaar                                 ;GM0361;0,8;
West;WK036104  ;Alkmaar                                 ;GM0361;0,8;
Huiswaard;WK036105  ;Alkmaar                                 ;GM0361;0,8;
De Mare;WK036106  ;Alkmaar                                 ;GM0361;0,9;
Daalmeer/Koedijk;WK036107  ;Alkmaar                                 ;GM0361;1,0;
Centrum;WK036108  ;Alkmaar                                 ;GM0361;0,6;
Schermer;WK036109  ;Alkmaar                                 ;GM0361;1,3;
Graft-De Rijp;WK036110  ;Alkmaar                                 ;GM0361;1,2;
Vroonermeer;WK036111  ;Alkmaar                                 ;GM0361;1,1;
Randwijck;WK036201  ;Amstelveen                              ;GM0362;0,8;
Patrimonium;WK036202  ;Amstelveen                              ;GM0362;0,9;
Elsrijk;WK036203  ;Amstelveen                              ;GM0362;0,8;
Stadshart;WK036204  ;Amstelveen                              ;GM0362;0,6;
Uilenstede, Kronenburg;WK036205  ;Amstelveen                              ;GM0362;0,1;
Bankras, Kostverloren;WK036206  ;Amstelveen                              ;GM0362;0,7;
Buitengebied Noord;WK036207  ;Amstelveen                              ;GM0362;1,2;
Keizer Karelpark;WK036208  ;Amstelveen                              ;GM0362;0,7;
Groenelaan;WK036209  ;Amstelveen                              ;GM0362;0,7;
Waardhuizen, Middenhoven;WK036210  ;Amstelveen                              ;GM0362;0,9;
Bovenkerk - Westwijk Noord;WK036211  ;Amstelveen                              ;GM0362;0,9;
Westwijk Zuid;WK036212  ;Amstelveen                              ;GM0362;1,1;
Buitengebied Zuid;WK036213  ;Amstelveen                              ;GM0362;1,4;
Amsterdamse Bos;WK036214  ;Amstelveen                              ;GM0362;.;
Haarlemmerbuurt;WK0363AA  ;Amsterdam                               ;GM0363;0,3;
Jordaan;WK0363AB  ;Amsterdam                               ;GM0363;0,3;
Grachtengordel-West;WK0363AC  ;Amsterdam                               ;GM0363;0,4;
Burgwallen-Nieuwe Zijde;WK0363AD  ;Amsterdam                               ;GM0363;0,2;
Burgwallen-Oude Zijde;WK0363AE  ;Amsterdam                               ;GM0363;0,2;
Nieuwmarkt/Lastage;WK0363AF  ;Amsterdam                               ;GM0363;0,3;
Grachtengordel-Zuid;WK0363AG  ;Amsterdam                               ;GM0363;0,3;
De Weteringschans;WK0363AH  ;Amsterdam                               ;GM0363;0,3;
Weesperbuurt/Plantage;WK0363AJ  ;Amsterdam                               ;GM0363;0,3;
Oostelijke Eilanden/Kadijken;WK0363AK  ;Amsterdam                               ;GM0363;0,3;
Havens-West;WK0363BA  ;Amsterdam                               ;GM0363;.;
Coenhaven/Minervahaven;WK0363BB  ;Amsterdam                               ;GM0363;0,0;
Sloterdijk-West;WK0363EA  ;Amsterdam                               ;GM0363;0,4;
Spaarndammerbuurt/Zeeheldenbuurt;WK0363EB  ;Amsterdam                               ;GM0363;0,3;
Houthavens;WK0363EC  ;Amsterdam                               ;GM0363;0,5;
De Kolenkit;WK0363ED  ;Amsterdam                               ;GM0363;0,4;
Landlust;WK0363EE  ;Amsterdam                               ;GM0363;0,4;
Erasmuspark;WK0363EF  ;Amsterdam                               ;GM0363;0,4;
Centrale Markt;WK0363EG  ;Amsterdam                               ;GM0363;0,3;
Staatsliedenbuurt;WK0363EH  ;Amsterdam                               ;GM0363;0,3;
Frederik Hendrikbuurt;WK0363EJ  ;Amsterdam                               ;GM0363;0,3;
Van Galenbuurt;WK0363EK  ;Amsterdam                               ;GM0363;0,4;
Geuzenbuurt;WK0363EL  ;Amsterdam                               ;GM0363;0,3;
Hoofdweg e.o.;WK0363EM  ;Amsterdam                               ;GM0363;0,3;
Chassébuurt;WK0363EN  ;Amsterdam                               ;GM0363;0,4;
Bellamybuurt;WK0363EP  ;Amsterdam                               ;GM0363;0,3;
Da Costabuurt;WK0363EQ  ;Amsterdam                               ;GM0363;0,3;
Westindische Buurt;WK0363ER  ;Amsterdam                               ;GM0363;0,4;
Van Lennepbuurt;WK0363ES  ;Amsterdam                               ;GM0363;0,3;
Overtoomse Sluis;WK0363ET  ;Amsterdam                               ;GM0363;0,3;
Helmersbuurt;WK0363EU  ;Amsterdam                               ;GM0363;0,3;
Vondelparkbuurt;WK0363EV  ;Amsterdam                               ;GM0363;0,4;
Sloterdijk Nieuw-West;WK0363FA  ;Amsterdam                               ;GM0363;0,1;
Geuzenveld;WK0363FB  ;Amsterdam                               ;GM0363;0,7;
Slotermeer-West;WK0363FC  ;Amsterdam                               ;GM0363;0,6;
Slotermeer-Noordoost;WK0363FD  ;Amsterdam                               ;GM0363;0,5;
Slotermeer-Zuidoost;WK0363FE  ;Amsterdam                               ;GM0363;0,5;
Lutkemeer/Ookmeer;WK0363FF  ;Amsterdam                               ;GM0363;1,1;
De Aker;WK0363FG  ;Amsterdam                               ;GM0363;0,9;
De Punt;WK0363FH  ;Amsterdam                               ;GM0363;0,6;
Osdorp-Midden;WK0363FJ  ;Amsterdam                               ;GM0363;0,6;
Osdorp-Oost;WK0363FK  ;Amsterdam                               ;GM0363;0,5;
Slotervaart-Noord;WK0363FL  ;Amsterdam                               ;GM0363;0,6;
Overtoomse Veld;WK0363FM  ;Amsterdam                               ;GM0363;0,4;
Slotervaart-Zuid;WK0363FN  ;Amsterdam                               ;GM0363;0,4;
Westlandgracht;WK0363FP  ;Amsterdam                               ;GM0363;0,3;
Sloten/Nieuw-Sloten;WK0363FQ  ;Amsterdam                               ;GM0363;0,8;
Hoofddorppleinbuurt;WK0363KA  ;Amsterdam                               ;GM0363;0,4;
Schinkelbuurt;WK0363KB  ;Amsterdam                               ;GM0363;0,3;
Willemspark;WK0363KC  ;Amsterdam                               ;GM0363;0,6;
Museumkwartier;WK0363KD  ;Amsterdam                               ;GM0363;0,5;
Oude Pijp;WK0363KE  ;Amsterdam                               ;GM0363;0,2;
Nieuwe Pijp;WK0363KF  ;Amsterdam                               ;GM0363;0,3;
Zuid Pijp;WK0363KG  ;Amsterdam                               ;GM0363;0,3;
Stadionbuurt;WK0363KH  ;Amsterdam                               ;GM0363;0,4;
Apollobuurt;WK0363KJ  ;Amsterdam                               ;GM0363;0,7;
Scheldebuurt;WK0363KK  ;Amsterdam                               ;GM0363;0,4;
IJselbuurt;WK0363KL  ;Amsterdam                               ;GM0363;0,4;
Rijnbuurt;WK0363KM  ;Amsterdam                               ;GM0363;0,4;
Prinses Irenebuurt e.o.;WK0363KN  ;Amsterdam                               ;GM0363;0,7;
Zuidas;WK0363KP  ;Amsterdam                               ;GM0363;0,2;
Buitenveldert-West;WK0363KQ  ;Amsterdam                               ;GM0363;0,5;
Buitenveldert-Oost;WK0363KR  ;Amsterdam                               ;GM0363;0,5;
Oostelijk Havengebied;WK0363MA  ;Amsterdam                               ;GM0363;0,5;
Weesperzijde;WK0363MB  ;Amsterdam                               ;GM0363;0,3;
Oosterparkbuurt;WK0363MC  ;Amsterdam                               ;GM0363;0,3;
Transvaalbuurt;WK0363MD  ;Amsterdam                               ;GM0363;0,3;
Dapperbuurt;WK0363ME  ;Amsterdam                               ;GM0363;0,3;
Indische Buurt-West;WK0363MF  ;Amsterdam                               ;GM0363;0,3;
Indische Buurt-Oost;WK0363MG  ;Amsterdam                               ;GM0363;0,4;
Zeeburgereiland/Bovendiep;WK0363MH  ;Amsterdam                               ;GM0363;0,3;
IJburg-West;WK0363MJ  ;Amsterdam                               ;GM0363;0,6;
IJburg-Oost;WK0363MK  ;Amsterdam                               ;GM0363;0,6;
IJburg-Zuid;WK0363ML  ;Amsterdam                               ;GM0363;0,7;
Frankendael;WK0363MM  ;Amsterdam                               ;GM0363;0,4;
Middenmeer;WK0363MN  ;Amsterdam                               ;GM0363;0,4;
Betondorp;WK0363MP  ;Amsterdam                               ;GM0363;0,5;
Omval/Overamstel;WK0363MQ  ;Amsterdam                               ;GM0363;0,3;
Oostzanerwerf;WK0363NA  ;Amsterdam                               ;GM0363;0,8;
Noordelijke IJ-oevers-West;WK0363NB  ;Amsterdam                               ;GM0363;0,3;
Tuindorp Oostzaan;WK0363NC  ;Amsterdam                               ;GM0363;0,7;
Kadoelen;WK0363ND  ;Amsterdam                               ;GM0363;0,9;
Banne Buiksloot;WK0363NE  ;Amsterdam                               ;GM0363;0,6;
Nieuwendammerdijk/Buiksloterdijk;WK0363NF  ;Amsterdam                               ;GM0363;0,9;
Elzenhagen;WK0363NG  ;Amsterdam                               ;GM0363;0,4;
Buikslotermeer;WK0363NH  ;Amsterdam                               ;GM0363;0,5;
Waterlandpleinbuurt;WK0363NJ  ;Amsterdam                               ;GM0363;0,6;
Volewijck;WK0363NK  ;Amsterdam                               ;GM0363;0,5;
IJplein/Vogelbuurt;WK0363NL  ;Amsterdam                               ;GM0363;0,5;
Tuindorp Buiksloot;WK0363NM  ;Amsterdam                               ;GM0363;0,7;
Tuindorp Nieuwendam;WK0363NN  ;Amsterdam                               ;GM0363;0,7;
Noordelijke IJ-oevers-Oost;WK0363NP  ;Amsterdam                               ;GM0363;0,1;
Waterland;WK0363NQ  ;Amsterdam                               ;GM0363;1,1;
Driemond;WK0363SA  ;Amsterdam                               ;GM0363;1,1;
Bloemendalerpolder;WK0363SB  ;Amsterdam                               ;GM0363;0,9;
Weesp-Noordwest;WK0363SC  ;Amsterdam                               ;GM0363;0,7;
Weesp Binnenstad/Zuid;WK0363SD  ;Amsterdam                               ;GM0363;0,7;
Aetsveld/Oostelijke Vechtoever;WK0363SE  ;Amsterdam                               ;GM0363;1,1;
Amstel III/Bullewijk;WK0363TA  ;Amsterdam                               ;GM0363;0,1;
Venserpolder;WK0363TB  ;Amsterdam                               ;GM0363;0,4;
Amsterdamse Poort e.o.;WK0363TC  ;Amsterdam                               ;GM0363;0,3;
H-buurt;WK0363TD  ;Amsterdam                               ;GM0363;0,3;
Ganzenhoef e.o.;WK0363TE  ;Amsterdam                               ;GM0363;0,5;
Geerdinkhof/Kantershof;WK0363TF  ;Amsterdam                               ;GM0363;0,6;
Bijlmermuseum;WK0363TG  ;Amsterdam                               ;GM0363;0,3;
K-buurt;WK0363TH  ;Amsterdam                               ;GM0363;0,6;
Holendrecht;WK0363TJ  ;Amsterdam                               ;GM0363;0,5;
Nellestein;WK0363TK  ;Amsterdam                               ;GM0363;0,5;
Reigersbos;WK0363TL  ;Amsterdam                               ;GM0363;0,5;
Gein;WK0363TM  ;Amsterdam                               ;GM0363;0,6;
Wijk 01 Bergen Binnen;WK037301  ;Bergen (NH.)                            ;GM0373;1,1;
Wijk 02 Bergen aan Zee;WK037302  ;Bergen (NH.)                            ;GM0373;1,1;
Wijk 03 Buitengebied Bergen;WK037303  ;Bergen (NH.)                            ;GM0373;1,5;
Wijk 04 Egmond aan Zee;WK037304  ;Bergen (NH.)                            ;GM0373;1,0;
Wijk 05 Egmond-Binnen;WK037305  ;Bergen (NH.)                            ;GM0373;1,2;
Wijk 06 Egmond aan den Hoef;WK037306  ;Bergen (NH.)                            ;GM0373;1,2;
Wijk 07 Schoorl;WK037307  ;Bergen (NH.)                            ;GM0373;1,2;
Centrum;WK037500  ;Beverwijk                               ;GM0375;0,8;
Vondelkwartier;WK037501  ;Beverwijk                               ;GM0375;1,0;
Oranjebuurt;WK037502  ;Beverwijk                               ;GM0375;0,9;
Kuenenkwartier;WK037503  ;Beverwijk                               ;GM0375;0,9;
Warande;WK037504  ;Beverwijk                               ;GM0375;1,1;
Noordwestelijk tuinbouwgebied;WK037505  ;Beverwijk                               ;GM0375;1,2;
Oosterwijk en Zwaansmeer;WK037506  ;Beverwijk                               ;GM0375;0,9;
Meerestein;WK037507  ;Beverwijk                               ;GM0375;0,9;
Wijk aan Zee;WK037508  ;Beverwijk                               ;GM0375;1,0;
de Pijp en Wijkerbroek;WK037509  ;Beverwijk                               ;GM0375;1,0;
Broekpolder;WK037510  ;Beverwijk                               ;GM0375;1,4;
Blaricum;WK037601  ;Blaricum                                ;GM0376;1,3;
Wijk 00 Bloemendaal;WK037700  ;Bloemendaal                             ;GM0377;1,1;
Wijk 01 Overveen;WK037701  ;Bloemendaal                             ;GM0377;1,1;
Wijk 02 Aerdenhout;WK037702  ;Bloemendaal                             ;GM0377;1,5;
Wijk 03 Vogelenzang;WK037703  ;Bloemendaal                             ;GM0377;1,2;
Wijk 04 Bennebroek;WK037704  ;Bloemendaal                             ;GM0377;1,2;
Wijk 00 Centrum;WK038300  ;Castricum                               ;GM0383;0,9;
Wijk 01 Castricum-Noord;WK038301  ;Castricum                               ;GM0383;1,0;
Wijk 02 Castricum-Oost;WK038302  ;Castricum                               ;GM0383;1,0;
Wijk 03 Castricum-Zuid;WK038303  ;Castricum                               ;GM0383;1,0;
Wijk 04 Bakkum;WK038304  ;Castricum                               ;GM0383;1,0;
Wijk 05 Akersloot;WK038305  ;Castricum                               ;GM0383;1,3;
Wijk 06 De Woude;WK038306  ;Castricum                               ;GM0383;1,4;
Wijk 07 Limmen;WK038307  ;Castricum                               ;GM0383;1,2;
Diemen Noord;WK038401  ;Diemen                                  ;GM0384;0,9;
Diemen Centrum;WK038402  ;Diemen                                  ;GM0384;0,6;
Diemen Zuid;WK038403  ;Diemen                                  ;GM0384;0,8;
Bergwijkpark;WK038404  ;Diemen                                  ;GM0384;.;
Holland Park;WK038405  ;Diemen                                  ;GM0384;0,2;
Bedrijventerreinen;WK038406  ;Diemen                                  ;GM0384;.;
Plantage de Sniep;WK038407  ;Diemen                                  ;GM0384;0,9;
Buitengebied;WK038408  ;Diemen                                  ;GM0384;1,2;
Wijk 00 Edam;WK038500  ;Edam-Volendam                           ;GM0385;0,9;
Wijk 01 Purmer;WK038501  ;Edam-Volendam                           ;GM0385;.;
Wijk 02 Volendam;WK038502  ;Edam-Volendam                           ;GM0385;0,8;
Wijk 03 Beets;WK038503  ;Edam-Volendam                           ;GM0385;1,4;
Wijk 04 Oosthuizen;WK038504  ;Edam-Volendam                           ;GM0385;1,2;
Wijk 05 Warder;WK038505  ;Edam-Volendam                           ;GM0385;1,4;
Wijk 06 Middelie;WK038506  ;Edam-Volendam                           ;GM0385;1,5;
Wijk 07 Kwadijk;WK038507  ;Edam-Volendam                           ;GM0385;1,4;
Wijk 08 Schardam;WK038508  ;Edam-Volendam                           ;GM0385;1,4;
Wijk 09 Hobrede;WK038509  ;Edam-Volendam                           ;GM0385;1,4;
Centrum en Havens;WK038800  ;Enkhuizen                               ;GM0388;0,8;
Enkhuizen Noord;WK038801  ;Enkhuizen                               ;GM0388;1,0;
Enkhuizen Buitengebied;WK038802  ;Enkhuizen                               ;GM0388;1,2;
Enkhuizen Zuid;WK038803  ;Enkhuizen                               ;GM0388;0,8;
Buitengebied IJsselmeer en Markermeer;WK038810  ;Enkhuizen                               ;GM0388;.;
Oude Stad;WK039201  ;Haarlem                                 ;GM0392;0,5;
Haarlemmerhoutkwartier;WK039202  ;Haarlem                                 ;GM0392;0,8;
Zijlwegkwartier;WK039203  ;Haarlem                                 ;GM0392;0,6;
Houtvaartkwartier;WK039204  ;Haarlem                                 ;GM0392;0,8;
Duinwijk;WK039205  ;Haarlem                                 ;GM0392;0,8;
Waarder- en Veerpolder;WK039206  ;Haarlem                                 ;GM0392;0,8;
Amsterdamsewijk;WK039207  ;Haarlem                                 ;GM0392;0,7;
Slachthuiswijk;WK039208  ;Haarlem                                 ;GM0392;0,7;
Parkwijk;WK039209  ;Haarlem                                 ;GM0392;0,8;
Transvaalwijk;WK039210  ;Haarlem                                 ;GM0392;0,6;
Indischewijk;WK039211  ;Haarlem                                 ;GM0392;0,8;
Ter Kleefkwartier;WK039212  ;Haarlem                                 ;GM0392;0,8;
Te Zaanenkwartier;WK039213  ;Haarlem                                 ;GM0392;0,9;
Vogelenwijk;WK039214  ;Haarlem                                 ;GM0392;0,9;
Delftwijk;WK039215  ;Haarlem                                 ;GM0392;0,7;
Vondelkwartier;WK039216  ;Haarlem                                 ;GM0392;0,9;
Spaarndam;WK039217  ;Haarlem                                 ;GM0392;1,1;
Europawijk;WK039218  ;Haarlem                                 ;GM0392;0,7;
Boerhaavewijk;WK039219  ;Haarlem                                 ;GM0392;0,8;
Molenwijk;WK039220  ;Haarlem                                 ;GM0392;0,9;
Meerwijk;WK039221  ;Haarlem                                 ;GM0392;0,8;
Hoofddorp;WK039401  ;Haarlemmermeer                          ;GM0394;1,0;
Nieuw-Vennep;WK039402  ;Haarlemmermeer                          ;GM0394;1,2;
Zwanenburg;WK039403  ;Haarlemmermeer                          ;GM0394;1,1;
Lijnden / Boesingheliede;WK039404  ;Haarlemmermeer                          ;GM0394;1,1;
Badhoevedorp;WK039405  ;Haarlemmermeer                          ;GM0394;1,0;
Aalsmeerderbrug/ Oude Meer/ Rozenburg / ;WK039406  ;Haarlemmermeer                          ;GM0394;1,0;
Rijsenhout;WK039407  ;Haarlemmermeer                          ;GM0394;1,2;
Burgerveen / Leimuiderbrug / Weteringbru;WK039408  ;Haarlemmermeer                          ;GM0394;1,2;
Abbenes / Buitenkaag;WK039409  ;Haarlemmermeer                          ;GM0394;1,4;
Lisserbroek;WK039410  ;Haarlemmermeer                          ;GM0394;1,4;
Beinsdorp;WK039411  ;Haarlemmermeer                          ;GM0394;1,3;
Zwaanshoek;WK039412  ;Haarlemmermeer                          ;GM0394;1,4;
Cruquius;WK039413  ;Haarlemmermeer                          ;GM0394;1,1;
Vijfhuizen;WK039415  ;Haarlemmermeer                          ;GM0394;1,2;
Schiphol;WK039416  ;Haarlemmermeer                          ;GM0394;0,0;
Spaarndam;WK039420  ;Haarlemmermeer                          ;GM0394;1,3;
Haarlemmerliede;WK039421  ;Haarlemmermeer                          ;GM0394;1,2;
Halfweg;WK039422  ;Haarlemmermeer                          ;GM0394;1,0;
Wijk 01 Heemskerk-Dorp;WK039601  ;Heemskerk                               ;GM0396;0,9;
Wijk 02 Commandeurs en Marquette;WK039602  ;Heemskerk                               ;GM0396;1,2;
Wijk 03 Hofland, Oosterwijk en Zuidbroek;WK039603  ;Heemskerk                               ;GM0396;0,9;
Wijk 04 Heemskerkerduin en Noorddorp;WK039604  ;Heemskerk                               ;GM0396;1,4;
Wijk 05 Poelenburg en Oosterzij;WK039605  ;Heemskerk                               ;GM0396;0,9;
Wijk 06 Noordbroek en De Trompet;WK039606  ;Heemskerk                               ;GM0396;1,2;
Wijk 07 Kerkbeek;WK039607  ;Heemskerk                               ;GM0396;1,0;
Wijk 08 Assumburg;WK039608  ;Heemskerk                               ;GM0396;1,0;
Wijk 09 Hoogdorp en Waterakkers;WK039609  ;Heemskerk                               ;GM0396;1,2;
Wijk 10 Broekpolder;WK039610  ;Heemskerk                               ;GM0396;1,3;
Wijk 11 Oostelijk Heemskerk;WK039611  ;Heemskerk                               ;GM0396;.;
Wijk 00 Heemstede-Centrum;WK039700  ;Heemstede                               ;GM0397;1,0;
Wijk 01 Heemstede-Zuid;WK039701  ;Heemstede                               ;GM0397;1,1;
Wijk 02 Heemstede west van de spoorbaan;WK039702  ;Heemstede                               ;GM0397;1,0;
Wijk 01 Blockhovepark;WK039901  ;Heiloo                                  ;GM0399;1,4;
Wijk 02 Heiloo Noord-West;WK039902  ;Heiloo                                  ;GM0399;1,1;
Wijk 03 Heiloo-Midden;WK039903  ;Heiloo                                  ;GM0399;1,1;
Wijk 04 Heiloo-West;WK039904  ;Heiloo                                  ;GM0399;1,0;
Wijk 05 Stationsomgeving;WK039905  ;Heiloo                                  ;GM0399;1,0;
Wijk 06 Ypestein;WK039906  ;Heiloo                                  ;GM0399;1,0;
Wijk 07 Heiloo-Oost;WK039907  ;Heiloo                                  ;GM0399;.;
Wijk 08 Heiloo Zuid-West;WK039908  ;Heiloo                                  ;GM0399;1,1;
Wijk 01 Stad binnen de Linie-Oost;WK040001  ;Den Helder                              ;GM0400;0,7;
Wijk 02 Stad binnen de Linie-West;WK040002  ;Den Helder                              ;GM0400;0,8;
Wijk 03 Nieuw Den Helder-West;WK040003  ;Den Helder                              ;GM0400;0,9;
Wijk 04 Nieuw Den Helder-Oost;WK040004  ;Den Helder                              ;GM0400;0,8;
Wijk 05 De Schooten;WK040005  ;Den Helder                              ;GM0400;0,9;
Wijk 06 Het Koegras;WK040006  ;Den Helder                              ;GM0400;1,3;
Wijk 07 Duinzoom;WK040007  ;Den Helder                              ;GM0400;1,4;
Wijk 08 Julianadorp;WK040008  ;Den Helder                              ;GM0400;1,3;
Centrum;WK040201  ;Hilversum                               ;GM0402;0,6;
Noordwest;WK040202  ;Hilversum                               ;GM0402;1,0;
Zuidwest;WK040203  ;Hilversum                               ;GM0402;0,9;
Zuid;WK040204  ;Hilversum                               ;GM0402;0,9;
Zuidoost;WK040205  ;Hilversum                               ;GM0402;0,9;
Oost;WK040206  ;Hilversum                               ;GM0402;0,8;
Noordoost;WK040207  ;Hilversum                               ;GM0402;0,8;
Hilversumse Meent;WK040208  ;Hilversum                               ;GM0402;1,1;
Landelijk Gebied;WK040209  ;Hilversum                               ;GM0402;1,2;
Wijk 10 Binnenstad;WK040510  ;Hoorn                                   ;GM0405;0,8;
Wijk 11 Venenlaan-kwartier;WK040511  ;Hoorn                                   ;GM0405;0,9;
Wijk 12 Hoorn-Noord;WK040512  ;Hoorn                                   ;GM0405;0,8;
Wijk 13 Grote Waal;WK040513  ;Hoorn                                   ;GM0405;0,9;
Wijk 20 Risdam-Zuid;WK040520  ;Hoorn                                   ;GM0405;0,9;
Wijk 21 Risdam-Noord;WK040521  ;Hoorn                                   ;GM0405;1,0;
Wijk 22 Nieuwe Steen;WK040522  ;Hoorn                                   ;GM0405;1,1;
Wijk 30 Zwaag;WK040530  ;Hoorn                                   ;GM0405;1,1;
Wijk 31 Blokker;WK040531  ;Hoorn                                   ;GM0405;1,1;
Wijk 32 Kersenboogerd-Noord;WK040532  ;Hoorn                                   ;GM0405;0,8;
Wijk 33 Kersenboogerd-Zuid;WK040533  ;Hoorn                                   ;GM0405;1,0;
Wijk 34 Hoorn 80;WK040534  ;Hoorn                                   ;GM0405;.;
Wijk 35 Bangert en Oosterpolder;WK040535  ;Hoorn                                   ;GM0405;1,2;
Wijk 36 Noord;WK040536  ;Hoorn                                   ;GM0405;.;
Wijk 00 Oude Dorp;WK040600  ;Huizen                                  ;GM0406;1,0;
Wijk 01 Westereng;WK040601  ;Huizen                                  ;GM0406;1,3;
Wijk 02 Buitenwijken;WK040602  ;Huizen                                  ;GM0406;1,9;
Wijk 03 Erica en Tafelberg;WK040603  ;Huizen                                  ;GM0406;1,7;
Wijk 04 Staatslieden en Componistenbuurt;WK040604  ;Huizen                                  ;GM0406;1,3;
Wijk 05 Havengebied;WK040605  ;Huizen                                  ;GM0406;1,0;
Wijk 06 Zenderwijk en Bovenweg;WK040606  ;Huizen                                  ;GM0406;1,0;
Wijk 07 Stad en Lande;WK040607  ;Huizen                                  ;GM0406;1,1;
Wijk 08 Huizermaat West en Zuid;WK040608  ;Huizen                                  ;GM0406;1,0;
Wijk 09 Huizermaat Noord;WK040609  ;Huizen                                  ;GM0406;1,0;
Wijk 10 Bijvanck;WK040610  ;Huizen                                  ;GM0406;1,1;
Wijk 11 Bovenmaten;WK040611  ;Huizen                                  ;GM0406;1,0;
Wijk 12 Hogemaat;WK040612  ;Huizen                                  ;GM0406;1,3;
Purmerland;WK041501  ;Landsmeer                               ;GM0415;1,2;
Den Ilp;WK041502  ;Landsmeer                               ;GM0415;1,4;
Landsmeer;WK041503  ;Landsmeer                               ;GM0415;1,1;
